training_step, return
1096612,520.0
1097381,520.0
1098375,490.0
1099355,535.0
1100012,295.0
1100888,545.0
1101936,575.0
1102794,685.0
1103917,600.0
1104750,500.0
1106061,800.0
1107472,925.0
1108398,525.0
1109228,605.0
1110236,610.0
1111049,470.0
1111850,545.0
1112771,550.0
1114618,1065.0
1115547,730.0
1116360,555.0
1117276,545.0
1118121,670.0
1119040,770.0
1120154,575.0
1121190,570.0
1122055,505.0
1123328,750.0
1124119,465.0
1125698,880.0
1126645,545.0
1128683,1430.0
1129634,545.0
1130618,575.0
1131428,690.0
1132085,405.0
1132830,600.0
1133659,545.0
1134554,570.0
1135531,575.0
1136388,500.0
1137339,445.0
1138444,600.0
1139434,570.0
1140327,545.0
1141312,500.0
1142583,685.0
1143522,605.0
1144418,575.0
1145372,550.0
1146139,570.0
1147829,845.0
1148954,770.0
1150155,770.0
1151133,605.0
1152177,625.0
1153239,570.0
1154850,1105.0
1155613,735.0
1156488,570.0
1157966,920.0
1159355,970.0
1160304,805.0
1161190,600.0
1161950,600.0
1163274,985.0
1164250,575.0
1165167,540.0
1165993,500.0
1167108,570.0
1168579,890.0
1169478,600.0
1170443,800.0
1171249,575.0
1172138,690.0
1172951,605.0
1173842,745.0
1174843,605.0
1175765,575.0
1176600,600.0
1177432,480.0
1178533,575.0
1179150,300.0
1179982,720.0
1181020,575.0
1181872,545.0
1182563,545.0
1183560,605.0
1185025,1135.0
1185878,600.0
1186730,545.0
1187421,740.0
1188208,525.0
1189092,605.0
1190045,720.0
1191064,775.0
1192143,800.0
1192701,385.0
1195412,1620.0
1197286,1235.0
1198137,520.0
1199076,600.0
1200791,1270.0
1201723,745.0
1202669,520.0
1203418,495.0
1204261,725.0
1205067,715.0
1205952,510.0
1206928,575.0
1207725,745.0
1208450,680.0
1209528,600.0
1210520,600.0
1211331,725.0
1212677,980.0
1213719,600.0
1214835,570.0
1215556,545.0
1216306,545.0
1217089,600.0
1217857,395.0
1218920,600.0
1219949,715.0
1220692,375.0
1221639,570.0
1222956,715.0
1224093,600.0
1224917,515.0
1225931,545.0
1226729,600.0
1227764,805.0
1228816,570.0
1229735,510.0
1230626,420.0
1231545,600.0
1234252,1865.0
1235112,515.0
1236089,600.0
1236974,540.0
1238536,1130.0
1239353,540.0
1240358,575.0
1241464,575.0
1242260,510.0
1243175,600.0
1243965,525.0
1244817,575.0
1245698,600.0
1246917,795.0
1247682,745.0
1248483,570.0
1249270,745.0
1250140,575.0
1250978,540.0
1251819,490.0
1253469,1020.0
1254421,600.0
1255351,600.0
1256022,545.0
1257678,920.0
1258509,575.0
1259645,735.0
1260465,575.0
1261346,515.0
1262293,605.0
1262860,325.0
1263862,770.0
1264718,605.0
1265768,605.0
1266683,605.0
1267376,550.0
1268168,600.0
1269062,485.0
1269968,575.0
1270896,600.0
1271729,545.0
1273568,1525.0
1274470,750.0
1275371,575.0
1276248,775.0
1277192,605.0
1277973,440.0
1278984,630.0
1279878,545.0
1280860,545.0
1281655,540.0
1282484,545.0
1283251,600.0
1284220,600.0
1285211,575.0
1286111,775.0
1287143,695.0
1287848,575.0
1290077,1465.0
1291560,935.0
1293053,905.0
1294073,575.0
1294994,600.0
1295739,410.0
1296510,570.0
1297492,600.0
1298319,750.0
1299143,570.0
1300032,575.0
1301570,805.0
1303523,1405.0
1304434,600.0
1305290,805.0
1306150,575.0
1307184,585.0
1308773,990.0
1309563,525.0
1311129,1170.0
1311951,540.0
1312793,600.0
1313690,600.0
1314661,605.0
1315548,740.0
